"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
method_life,reminder_lifestyle_ppi_completion,,radio,"Method of Contact ","1, Phone | 2, E-mail",,,,,,,,,,,,
contactnotes_life,reminder_lifestyle_ppi_completion,,notes,"Contact Notes ",,,,,,,,,,,,,
reminder_life,reminder_lifestyle_ppi_completion,,radio,"Is a reminder call needed?","1, Yes | 2, No",,,,,,,,,,,,
fuplife,reminder_lifestyle_ppi_completion,,text,"Date to follow up with patient ",,,date_dmy,,,,"[reminder_life] = '1'",,,,,,
fup_life_reminder_notes,reminder_lifestyle_ppi_completion,,notes,"Reminder Notes ",,,,,,,"[reminder_life] = '1'",,,,,,
pcontacthis,reminder_history_ppi_completion,,text,"Patient Contact Date ",,,date_dmy,,,,,,,,,,
method_of_contacthis,reminder_history_ppi_completion,,radio,"Method of Contact ","1, Phone | 2, E-mail",,,,,,,,,,,,
contactnoteshis,reminder_history_ppi_completion,,notes,"Contact Notes ",,,,,,,,,,,,,
reminderhisneeded,reminder_history_ppi_completion,,radio,"Is a reminder call needed?","1, Yes | 2, No",,,,,,,,,,,,
fuphist,reminder_history_ppi_completion,,text,"Date to follow up ",,,date_dmy,,,,"[reminderhisneeded] = '1'",,,,,,
fuphistremindernotes,reminder_history_ppi_completion,,notes,"Reminder Notes ",,,,,,,"[reminderhisneeded] = '1'",,,,,,
pcontactmeds,reminder_meds_ppi_completion,,text,"Patient Contact Date ",,,date_dmy,,,,,,,,,,
methodmeds,reminder_meds_ppi_completion,,radio,"Method of Contact","1, Phone | 2, E-mail",,,,,,,,,,,,
contactnotesmed,reminder_meds_ppi_completion,,notes,"Contact Notes ",,,,,,,,,,,,,
reminderneededmeds,reminder_meds_ppi_completion,,radio,"Is a reminder call needed?","1, Yes | 2, No",,,,,,,,,,,,
fupmeds,reminder_meds_ppi_completion,,text,"Date to follow up with patient ",,,date_dmy,,,,"[reminderneededmeds] = '1'",,,,,,
remindernotesmeds,reminder_meds_ppi_completion,,notes,"Reminder Notes ",,,,,,,"[reminderneededmeds] = '1'",,,,,,
pcontactfamily,reminder_family_ppi_completion,,text,"Patient Contact Date
",,,date_dmy,,,,,,,,,,
methodfam,reminder_family_ppi_completion,,radio,"Method of Contact ","1, Phone | 2, E-mail",,,,,,,,,,,,
contactfamnotes,reminder_family_ppi_completion,,notes,"Contact Notes",,,,,,,,,,,,,
reminder_family,reminder_family_ppi_completion,,radio,"Is a reminder call needed?","1, Yes | 2, No",,,,,,,,,,,,
fupfamily,reminder_family_ppi_completion,,text,"Date to follow up with patient ",,,date_dmy,,,,"[reminder_family] = '1'",,,,,,
remindernotesfam,reminder_family_ppi_completion,,notes,"Reminder Notes ",,,,,,,"[reminder_family] = '1'",,,,,,
pcontactaccess,reminder_access_ppi_completion,,text,"Phone Contact Date ",,,date_dmy,,,,,,,,,,
methodaccess,reminder_access_ppi_completion,,radio,"Method of Contact ","1, Phone | 2, E-mail",,,,,,,,,,,,
method_contact_notes,reminder_access_ppi_completion,,notes,"Contact Notes ",,,,,,,,,,,,,
reminderaccessneeded,reminder_access_ppi_completion,,radio,"Is a reminder call needed?","1, Yes | 2, No",,,,,,,,,,,,
fupaccess,reminder_access_ppi_completion,,text,"Date to follow up with patient ",,,date_dmy,,,,"[reminderaccessneeded] = '1'",,,,,,
fupreminderaccessnotes,reminder_access_ppi_completion,,notes,"Reminder Notes ",,,,,,,"[reminderaccessneeded] = '1'",,,,,,
date_reimburse,compensation,,text,"Date of compensation",,,date_dmy,,,,,,,,,,
p_accountnumber,compensation,,text,"Card number ",,"Please enter X digit number on card",,,,,,,,,,,
reimbursementmethod,compensation,,radio,"Compensation Delivery Method ","1, In Person | 2, Mailed",,,,,,,,,,,,
reimbursement_date,compensation,,text,"Compensation shipping date",,,date_dmy,,,,"[reimbursementmethod] = '2'",,,,,,
trackingnumber,compensation,,text,"Tracking number ",,"Please add mail tracking number ",,,,,"[reimbursementmethod] = '2'",,,,,,
